Price,Close,Close,Close,Close,Close,High,High,High,High,High,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume
Ticker,AAPL,AMZN,GOOGL,META,MSFT,AAPL,AMZN,GOOGL,META,MSFT,AAPL,AMZN,GOOGL,META,MSFT,AAPL,AMZN,GOOGL,META,MSFT,AAPL,AMZN,GOOGL,META,MSFT
Date,,,,,,,,,,,,,,,,,,,,,,,,,
2010-03-05,6.560399532318115,6.445499897003174,14.003628730773926,,21.417373657226562,6.582871898485306,6.472499847412109,14.08950685499785,,21.48479467460658,6.430959199256158,6.353499889373779,13.896656107723627,,21.290023005379336,6.440247942625617,6.456500053405762,13.93264501391342,,21.469811908780976,899620400,135386000,156331512,,56001800
2010-03-08,6.564294338226318,6.505499839782715,13.96069049835205,,21.44733238220215,6.594556461066847,6.542500019073486,14.027705399433177,,21.672069526728578,6.5394248787902045,6.385499954223633,13.924205963491536,,21.34994728642508,6.592159766225909,6.414999961853027,14.017776740463669,,21.36493004849381,429889600,112118000,95360544,,39414500
2010-03-09,6.68234920501709,6.440999984741211,13.903855323791504,,21.57468605041504,6.741675709954981,6.540500164031982,14.014800555430519,,21.806914608787523,6.528639078519928,6.398499965667725,13.812268945446341,,21.38740578459951,6.541223428044745,6.479499816894531,13.89541544261981,,21.394897166692335,920259200,121416000,126936936,,50271600
2010-03-10,6.736880779266357,6.5254998207092285,14.307426452636719,,21.70203399658203,6.756057538414589,6.558499813079834,14.358306931489457,,21.806911904038362,6.687741934145872,6.423999786376953,13.953990006036879,,21.574683374469586,6.706618656383197,6.45550012588501,13.992460842695504,,21.619631661451525,596218000,112514000,225969804,,44891400
2010-03-11,6.756655693054199,6.678999900817871,14.423830032348633,,21.859355926513672,6.756655693054199,6.681000232696533,14.54966682104457,,21.866847309659267,6.691336860535345,6.51800012588501,14.251579104611066,,21.61214599804998,6.709015434540506,6.522500038146973,14.25306882907135,,21.642110101797122,405700400,144816000,169162668,,35349700
2010-03-12,6.789617538452148,6.591000080108643,14.384119033813477,,21.926774978637695,6.8234753110141595,6.710000038146973,14.601044681990114,,22.009177328175326,6.764148799737355,6.559000015258789,14.37468694927801,,21.754477468253885,6.812688381655248,6.710000038146973,14.597569603913168,,21.96423046216979,416323600,123016000,110025864,,31700200
2010-03-15,6.706918716430664,6.55649995803833,13.978065490722656,,21.941755294799805,6.756656438363613,6.599999904632568,14.133686372470066,,22.001684919063845,6.59935107654244,6.43149995803833,13.799858493243391,,21.732000895458196,6.753061595894926,6.585000038146973,14.06493487558153,,21.859351525623644,493502800,126584000,185969844,,37512000
2010-03-16,6.725195407867432,6.5894999504089355,14.028202056884766,,22.001689910888672,6.741075761644066,6.614500045776367,14.108122234186313,,22.09158365326268,6.66706745632439,6.525000095367432,13.918002163198173,,21.874339251829433,6.717105612571404,6.561999797821045,13.944558986893012,,22.039145398738633,446908000,82650000,137122740,,36723500
2010-03-17,6.715308666229248,6.566999912261963,14.03713607788086,,22.196462631225586,6.7851220645390145,6.634500026702881,14.183325810446277,,22.37625299364225,6.68984032951547,6.560999870300293,14.004621305131025,,22.024165081814665,6.7386795446173045,6.620500087738037,14.105142234674561,,22.099077494682373,450956800,87176000,132731136,,50385700
2010-03-18,6.731189250946045,6.638000011444092,14.05798625946045,,22.18147087097168,6.741676142881947,6.642499923706055,14.108618924661782,,22.263873200462047,6.670064520665953,6.521999835968018,13.97260564967558,,22.09906711264655,6.714708820634325,6.551000118255615,14.01628815844607,,22.196452203438717,342109600,100426000,71016912,,43845200
